"!"
"@"
"#"
"%"
"^"
"&"
"*"
"("
")"
"_"
"-"
"+"
"="
"`"
"{"
"["
"}"
"]"
"."
","
";"
""""
"?"
"/"
":"
""
" "
"،"
"؛"
"؟"
"ـ"
"‏"
"0"
"1"
"2"
"3"
"4"
"5"
"6"
"7"
"8"
"9"
"a"
"e"
"E"
"f"
"L"
"Þ"
"v"
"z"
"$"
"–"
"…"
"”"
"“"
