year,ratio
-11,0.02102283494956611
-10,0.02166070665593528
-9,0.021444808439509813
-8,0.02204571052041847
-7,0.019352709971963415
-6,0.020058913422427327
-5,0.019832863369891086
-4,0.019832070160532844
-3,0.017328151191413326
-2,0.016683269495997476
-1,0.01698550810227776
0,0.01719245184124297
1,0.017550040723981846
2,0.017631419656001745
3,0.01754873748392246
4,0.017739572050482467
5,0.017987104893141988
6,0.01815574584494442
7,0.018302867350834015
8,0.015710323623648645
9,0.015937470025605156
10,0.01595782478692187
11,0.016987154356304452
12,0.044208836774924196
13,0.06143701782076894
14,0.04485657306012418
15,0.04269022575781908
16,0.04229801107489823
17,0.03935989306131425
18,0.04622358266314769
19,0.039538883495334194
20,0.038222874387069644
21,0.036505661509001516
22,0.03776511309952464
23,0.034916610546017815
24,0.038297850422131345
25,0.03822711527316638
26,0.03854973385918211
27,0.03842396073239654
28,0.036183844789513774
29,0.035987229591891906
30,0.03594687443267897
31,0.036167401110156254
32,0.03504506130230246
33,0.04254908419288019
34,0.04228715140623381
35,0.04580108751931888
36,0.047232463137160986
37,0.042087876448356716
38,0.04345071959267243
39,0.045114841939578744
40,0.04718047817633352
41,0.03779903839778665
42,0.03996448164723845
43,0.03818720823136109
44,0.03772026792018601
45,0.0368263744382975
46,0.037197352387422535
47,0.03731826304292772
48,0.03689895506342727
49,0.03692192845223861
50,0.03484163994721859
51,0.03353264104103882
52,0.04566502847508181
53,0.04501360905629332
54,0.0446194098962057
55,0.04321676168899173
56,0.039367737611714575
57,0.03198057110703158
58,0.04270063804373422
59,0.033914566776566554
60,0.031775486458793786
61,0.031589232415618264
62,0.03189366476095518
63,0.030499469563279785
64,0.028745387763775925
65,0.027992636583355934
66,0.02914069508277326
67,0.028023198038543213
68,0.02742475894505166
69,0.03525293180283877
70,0.035709333176509
71,0.03428272641324604
72,0.036504507568099274
73,0.03669221386009958
74,0.042640146496114216
75,0.041824345548517744
76,0.040770523889809694
77,0.041079933932888044
78,0.040285270513823246
79,0.04507386141450961
80,0.04408150666501756
81,0.04209454203170069
82,0.04098872562662004
83,0.045326930900547076
84,0.04480562913282375
85,0.04583092276252213
86,0.045442999824341995
87,0.04609474361914762
88,0.04473662118831057
89,0.045422530465383054
90,0.05159969695644066
91,0.052160244743259365
92,0.053656764157301653
93,0.05492507310629698
94,0.06344968340619295
95,0.06520564175874255
96,0.06372790378443409
97,0.06573024715694116
98,0.06791421565518763
99,0.07192397214213796
100,0.07633889529467801
101,0.07827301351599204
102,0.07889175271407328
103,0.08260972704859901
104,0.09149941404653301
105,0.09744583136620756
106,0.10116086421862275
107,0.11774086798899533
108,0.1185346653039537
109,0.11819011813383722
110,0.11939971151056476
111,0.11978142522564504
112,0.11837715720532233
113,0.11912454952224419
114,0.12234155752450729
115,0.12233195094796487
116,0.10521015345405425
117,0.11472816695595753
118,0.12474928033960055
119,0.12320401164848879
120,0.1372675858593971
121,0.1453231863417693
122,0.15009945335524488
123,0.1541692205479709
124,0.1545692706546786
125,0.17148162562173325
126,0.17706408832429668
127,0.2126684975900782
128,0.2108377064637328
129,0.21106395850371132
130,0.2400245152646416
131,0.2378679478903739
132,0.22070616943142513
133,0.2697333821194811
134,0.2696800315762373
135,0.27252685499644025
136,0.27551964088125214
137,0.28998320660987154
138,0.3054129129756872
139,0.3144175536098687
140,0.3321287286556202
141,0.3437451540115355
142,0.3493902544674945
143,0.377021541228875
144,0.3967828645197236
145,0.4141555271450705
146,0.37938163036219463
147,0.3790440932383458
148,0.4017720265094742
149,0.41705509374284794
150,0.44252296517217615
151,0.54291002151113
152,0.5590539028819503
153,0.5642408748479201
154,0.5740998001179554
155,0.6427398731110258
156,0.6307159358052913
157,0.6512614198409921
158,0.6600051754405051
159,0.6293593624269542
160,0.6925553857681671
161,0.6985150781003708
162,0.724812576402389
163,0.7756843246217738
164,0.7793424032885581
165,0.7682612431305854
166,0.7629128475535357
167,0.7758112400108427
168,0.756637075510704
169,0.7580453523913296
170,0.719649324075527
171,0.7273827473003572
172,0.723336880918242
173,0.7243787114459228
174,0.7597424959227851
175,0.7774397746192985
176,0.7701178030533857
177,0.770764164413038
178,0.7734315787224152
179,0.7783768555063321
180,0.8341261622985845
181,0.7931524636175371
182,0.8031829791067248
183,0.8068138243457529
184,0.8412819748016596
185,0.8474988732061236
186,0.8483500478578268
187,0.8588742899677168
188,0.8490073492629105
189,0.8524861075963736
190,0.8338269779142768
191,0.8264452086103597
192,0.831514940798552
193,0.8388173135765165
194,0.8358359397397634
195,0.8295931979783276
196,0.8297652850729524
197,0.8278955458117903
198,0.846665650676588
199,0.8405732620647326
200,0.808218605466123
201,0.8095806064942049
202,0.8207559969626192
203,0.8299716041941101
204,0.834259892639002
205,0.8102341040820781
206,0.7936742198054879
207,0.7990150088761738
208,0.8131071090345959
209,0.8054449920535387
210,0.8324923386023991
211,0.8237515620949
212,0.8923133327823679
213,0.895783595975916
214,0.8982691107612747
215,0.9033619216480203
216,0.906321844373681
217,0.9108160916649934
218,0.9153230085061207
219,0.9137968317528348
220,0.9114971145477765
221,0.912512278791339
222,0.9288387690259864
223,0.929217311425516
224,0.9342111033442873
225,0.9352825873648327
226,0.940023092960042
227,0.9150852864440847
228,0.9128856165805332
229,0.9261615124985734
230,0.9260647431949177
231,0.924064648753669
232,0.9227422734103738
233,0.9324183396873029
234,0.9258060083441244
235,0.7238815010579062
236,0.6917401631944498
237,0.6865539095443131
238,0.679109598330818
239,0.6917544552923206
240,0.6893727102463157
241,0.7273286855274572
242,0.6938174168599499
243,0.7604036206955103
244,0.7949552036391512
245,0.8004845347319303
246,0.782740148627043
247,0.7965730646605335
248,0.8002994495243738
249,0.7938019913081101
250,0.8266790711985443
251,0.8259124380937254
252,0.8287700240412879
253,0.8378238585015132
254,0.8406962294698077
255,0.8423430399635949
256,0.8565450333596809
257,0.8633493852432761
258,0.8864643465942402
259,0.8801207749295108
260,0.8728703719433197
261,0.8722270597046345
262,0.8745938553763987
263,0.8697807901824155
264,0.8742682737976443
265,0.8765457263056761
266,0.8875400910890059
267,0.8329990425436526
268,0.7993056374833123
269,0.8430434201859668
270,0.8410073282601832
271,0.9028077999997625
272,0.8994338334900164
273,0.8851356795695666
274,0.8814684829606926
275,0.8831732424609737
276,0.878254409275913
277,0.8587545854145112
278,0.783477391027949
279,0.824136448121524
280,0.9161973569410781
281,0.9160406005696174
282,0.9124039975660632
283,0.9005902755299815
284,0.8973412132070633
285,0.9088925523297108
286,0.8986448305796672
287,0.9023588311010449
288,0.8990669646160847
289,0.9003544943753847
290,0.8646320329800182
291,0.8985328778341735
292,0.872682851192037
293,0.8729507025382125
294,0.5694936713947502
295,0.5272199004128341
296,0.5139720743179365
297,0.513132378095888
298,0.5219483887347119
299,0.525355476253867
300,0.6617982720526964
301,0.6336214544541741
302,0.5756087734291585
303,0.638094953032262
304,0.5608156500020518
305,0.5113602337503118
306,0.4934819515876832
307,0.4697841796649063
308,0.6082549473822563
309,0.5475888839050101
310,0.5708535172728307
311,0.5675701800546404
312,0.5936730644037208
313,0.5545741306086975
314,0.5678617108310797
315,0.5454230493471591
316,0.5602260437259218
317,0.6697930878854061
318,0.5439864823857001
319,0.48425638284117895
320,0.5015905927137291
321,0.5376850048766181
322,0.531895708143097
323,0.5311891416587243
324,0.51243061137858
325,0.5008312500596059
326,0.7049355877063784
327,0.6188523490024352
328,0.5632396477311015
329,0.5878708401041074
330,0.5170246216709934
331,0.44391316741772
332,0.4628389313236153
333,0.509191963419982
334,0.5128987875365375
335,0.4356890171726573
336,0.42546801490425173
337,0.495094124125491
338,0.493243782723858
339,0.4632612297043575
340,0.42586955874722476
341,0.4306650348273133
342,0.43781902826551894
343,0.4204058982782312
344,0.4372948984834197
345,0.49160610190531523
346,0.3051948678703647
347,0.3477139523097314
348,0.37366504597177
349,0.35568236952962784
350,0.3346862515350939
351,0.34937608324608643
352,0.349227095690137
353,0.3431918650108731
354,0.3134947826545939
355,0.2186296533455919
356,0.6945450099104294
357,0.7054141659054142
358,0.7057588357955762
359,0.6085124649478773
360,0.5547740322234086
361,0.4173860672161714
362,0.4168573496690646
363,0.33120244724171566
364,0.3303075723743695
365,0.32395386794161013
366,0.3200660252625155
367,0.302404834767043
368,0.29905567142408196
369,0.3267796345752975
370,0.3336450449733046
371,0.3109206335412271
372,0.3057496325276475
373,0.2598313607246877
374,0.25477232170713626
375,0.2559399195902391
376,0.2537382880785625
377,0.2353359096627501
378,0.20463705312015565
379,0.21592738927319705
380,0.2184262921375924
381,0.17286541829516622
382,0.19128545249155804
383,0.19126770642071386
384,0.18323395627934821
385,0.18167864844238354
386,0.2089163106879783
387,0.2133274824399166
388,0.3781803819457757
