"فأخبرنا","أخبرنا"
"فأخبرني","أخبرني"
"فأخبرهم","أخبرهم"
"فأستأذن","أستأذن"
"فأعطاني","أعطاني"
"فأنبأنا","أنبأنا"
"فأنبأني","أنبأني"
"فاستأذن","استأذن"
"فحدثتنا","حدثتنا"
"فحدثتني","حدثتني"
"فحدثناه","حدثناه"
"فحدثنيه","حدثنيه"
"فحدثوني","حدثوني"
"لأحدثكم","أحدثكم"
"لأخبركم","أخبركم"
"وأخبرته","أخبرته"
"وأخبركم","أخبركم"
"وأخبرنا","أخبرنا"
"وأخبرني","أخبرني"
"وأخبرهم","أخبرهم"
"وأعطاني","أعطاني"
"وأنبأنا","أنبأنا"
"وأنبأني","أنبأني"
"وأنبانا","أنبانا"
"واستأذن","استأذن"
"وبقراءة","بقراءة"
"وحدثتنا","حدثتنا"
"وحدثتني","حدثتني"
"وحدثناه","حدثناه"
"وحدثنيه","حدثنيه"
"ويحدثني","يحدثني"
"يحدثناه","حدثناه"
"يحدثنيه","حدثنيه"
"يحدثوني","حدثوني"
"فأخبرتنا","أخبرتنا"
"فأخبرتني","أخبرتني"
"فأخبرتهم","أخبرتهم"
"فأخبرناه","أخبرناه"
"فأخبرنيه","أخبرنيه"
"فاستأذنت","استأذنت"
"وأخبرتنا","أخبرتنا"
"وأخبرتني","أخبرتني"
"وأخبرناه","أخبرناه"
"وأخبرنيه","أخبرنيه"
"واستأذنت","استأذنت"
