"ح"
"ثا"
"سل"
"عن"
"نا"
"ثنا"
"ثنى"
"ثني"
"حدث"
"خبر"
"ذكر"
"رأت"
"رأى"
"روى"
"زعم"
"سأل"
"سئل"
"سال"
"سمع"
"شهد"
"قال"
"قثا"
"قرأ"
"قرئ"
"قرا"
"قلت"
"قيل"
"كتب"
"نبأ"
"نبا"
"يرد"
"أخبر"
"أذكر"
"أرسل"
"أرنا"
"أرني"
"أنبأ"
"أنبا"
"اذكر"
"بلغه"
"تحدث"
"تقول"
"ثناه"
"حثنا"
"حدثت"
"حدثك"
"حدثه"
"خبره"
"دثنا"
"ذكرت"
"ذكره"
"رأيت"
"رفعه"
"رواه"
"سألت"
"سالت"
"سمعا"
"سمعت"
"سمعه"
"شهدت"
"فرآه"
"قالا"
"قالت"
"قاله"
"قثنا"
"قرأت"
"قلنا"
"كتاب"
"لقيت"
"يحدث"
"يرده"
"يقول"
"أحدثك"
"أخبرك"
"أخبره"
"أدركت"
"أرسله"
"أسمعت"
"أفضنا"
"أنبأك"
"أنبأه"
"أنباه"
"تفسير"
"حدثتا"
"حدثته"
"حدثكم"
"حدثنا"
"حدثني"
"خبرني"
"سألوا"
"سائلة"
"سماعا"
"سمعته"
"شاهده"
"قالتا"
"قرأنا"
"قراءة"
"كتابي"
"كتبته"
"لقيني"
"نبأنا"
"أحدثكم"
"أخبرته"
"أخبركم"
"أخبرنا"
"أخبرني"
"أخبرهم"
"أستأذن"
"أعطاني"
"أنبأنا"
"أنبأني"
"أنبانا"
"أنباني"
"اخبرني"
"استأذن"
"بقراءة"
"حدثتنا"
"حدثتني"
"حدثناه"
"حدثنيه"
"حدثوني"
"حدثيني"
"خبرتني"
"يحدثني"
"أخبرتنا"
"أخبرتني"
"أخبرتهم"
"أخبرناه"
"أخبرنيه"
"استأذنت"
"بانتخاب"
"بقراءتي"
