1,23029
2,8108
3,4008
4,2222
5,1343
6,728
7,405
8,208
9,101
10,81
11,47
12,22
13,19
14,12
15,10
16,10
17,3
18,1
19,3
20,2
21,3
22,2
23,1
25,1
26,2
31,1
