"فذكرت","ذكر"
"فذكره","ذكر"
"فرأيت","راى"
"فرفعه","رفع"
"فرواه","روى"
"فسألت","سأل"
"فسالت","سأل"
"فسمعت","سمع"
"فسمعه","سمع"
"فشهدت","شهد"
"فقالا","قال"
"فقالت","قال"
"فقرأت","قرأ"
"فقلنا","قال"
"فلقيت","لقى"
"فيحدث","حدث"
"فيرده","رود"
"فيقول","قال"
"لأحدث","حدث"
"لأخبر","أخبر"
"لأذكر","ذكر"
"لأسأل","سأل"
"لأسمع","سمع"
"لأشهد","شهد"
"لأقرأ","قرأ"
"لاثني","حدث"
"لتقول","قال"
"لرأيت","راى"
"لسألت","سأل"
"لسمعت","سمع"
"لقلنا","قال"
"لكتاب","كتب"
"للقيت","لقى"
"ليحدث","حدث"
"ليقول","قال"
"وأخبر","أخبر"
"وأذكر","ذكر"
"وأرسل","رسل"
"وأرنا","راى"
"وأرني","راى"
"وأنبأ","أنبأ"
"وأنبا","أنبأ"
"واذكر","ذكر"
"وبلغه","بلغ"
"وتحدث","حدث"
"وتقول","قال"
"وثناه","حدث"
"وحثنا","حدث"
"وحدثت","حدث"
"وحدثه","حدث"
"ودثنا","حدث"
"وذكرت","ذكر"
"وذكره","ذكر"
"ورأيت","راى"
"ورفعه","رفع"
"ورواه","روى"
"وسألت","سأل"
"وسمعت","سمع"
"وسمعه","سمع"
"وشهدت","شهد"
"وقالا","قال"
"وقالت","قال"
"وقاله","قال"
"وقثنا","قال"
"وقرأت","قرأ"
"وقلنا","قال"
"وكتاب","كتب"
"ولقيت","لقى"
"ويحدث","حدث"
"ويرده","رود"
"ويقول","قال"
"يبلغه","بلغ"
"يتحدث","حدث"
"يحثنا","حدث"
"يحدثك","حدث"
"يحدثه","حدث"
"يخبره","أخبر"
"يذكره","ذكر"
"يرفعه","رفع"
"يسمعه","سمع"
"بكتابي","كتب"
"فأخبرك","أخبر"
"فأخبره","أخبر"
"فأدركت","درك"
"فأرسله","رسل"
"فأسمعت","سمع"
"فأفضنا","فيض"
"فأنبأه","أنبأ"
"فحدثته","حدث"
"فحدثنا","حدث"
"فحدثني","حدث"
"فسألوا","سأل"
"فسمعته","سمع"
"فقالتا","قال"
"فقرأنا","قال"
"فقراءة","قرأ"
"فكتبته","كتب"
"فلقيني","لقى"
"لأحدثك","حدث"
"لأخبرك","أخبر"
"لأخبره","أخبر"
"لحدثني","حدث"
"لسمعته","سمع"
"لقراءة","قرأ"
"وأحدثك","حدث"
"وأخبرك","أخبر"
"وأخبره","أخبر"
"وأدركت","درك"
"وأرسله","رسل"
"وأنباه","أنبأ"
"وتفسير","فسر"
"وحدثته","حدث"
"وحدثكم","حدث"
"وحدثنا","حدث"
"وحدثني","حدث"
"وخبرني","أخبر"
"وسألوا","سأل"
"وسماعا","سمع"
"وسمعته","سمع"
"وشاهده","شهد"
"وقرأنا","قال"
"وقراءة","قرأ"
"وكتبته","كتب"
"ونبأنا","أنبأ"
"يحدثكم","حدث"
"يحدثنا","حدث"
"يخبرني","أخبر"
"يسألوا","سأل"
"فأخبرته","أخبر"
"فأخبرنا","أخبر"
"فأخبرني","أخبر"
"فأخبرهم","أخبر"
"فأستأذن","اذن"
"فأعطاني","عطى"
"فأنبأنا","أنبأ"
"فأنبأني","أنبأ"
"فاستأذن","اذن"
"فحدثتنا","حدث"
"فحدثتني","حدث"
"فحدثناه","حدث"
"فحدثنيه","حدث"
"فحدثوني","حدث"
"لأحدثكم","حدث"
"لأخبركم","أخبر"
"وأخبرته","أخبر"
"وأخبركم","أخبر"
"وأخبرنا","أخبر"
"وأخبرني","أخبر"
"وأخبرهم","أخبر"
"وأعطاني","عطى"
"وأنبأنا","أنبأ"
"وأنبأني","أنبأ"
"وأنبانا","أنبأ"
"واستأذن","اذن"
"وبقراءة","قرأ"
"وحدثتنا","حدث"
"وحدثتني","حدث"
"وحدثناه","حدث"
"وحدثنيه","حدث"
"ويحدثني","حدث"
"يحدثناه","حدث"
"يحدثنيه","حدث"
"يحدثوني","حدث"
"فأخبرتنا","أخبر"
"فأخبرتني","أخبر"
"فأخبرتهم","أخبر"
"فأخبرناه","أخبر"
"فأخبرنيه","أخبر"
"فاستأذنت","اذن"
"وأخبرتنا","أخبر"
"وأخبرتني","أخبر"
"وأخبرناه","أخبر"
"وأخبرنيه","أخبر"
"واستأذنت","اذن"
