year,ratio
-11,0.08732826056968085
-10,0.0864188792819072
-9,0.08572140019275756
-8,0.08475741653621018
-7,0.07974368870765243
-6,0.07838575961705524
-5,0.07879619849545144
-4,0.07880198873748978
-3,0.061624971941037825
-2,0.0634126814845362
-1,0.06309418346873027
0,0.06563567697212315
1,0.06620815593991722
2,0.06677321641054393
3,0.06757648199016407
4,0.06753043812204475
5,0.06798651532525427
6,0.06985685994705644
7,0.07052406859040278
8,0.05775052843177181
9,0.05803466574557078
10,0.05793472323382934
11,0.05936676747739881
12,0.059629760019630405
13,0.05638054369688683
14,0.04572895720657071
15,0.038499598976512374
16,0.03908201358396761
17,0.04047653532183128
18,0.05058519821305472
19,0.04163813206475995
20,0.05006215516160454
21,0.05177089647059084
22,0.060120724483598
23,0.05916505917924681
24,0.037181355895201315
25,0.04003143321534684
26,0.04020958598206535
27,0.04022605767083949
28,0.04270194370857815
29,0.04354133992514846
30,0.04009459199704416
31,0.03984644978633619
32,0.038559026701369604
33,0.04696890725588117
34,0.04525801863481284
35,0.04530279966792974
36,0.04773952628624047
37,0.05316371843147835
38,0.05459512156374891
39,0.04790063312140123
40,0.05412068888954944
41,0.03523297541388641
42,0.03329943223150955
43,0.033681972168127225
44,0.033947794735991986
45,0.036830477392745024
46,0.03687708532643197
47,0.03698880242416247
48,0.03726442626814
49,0.038248324493614864
50,0.04010559116021875
51,0.04094072188850793
52,0.043502021911894534
53,0.046482247662052605
54,0.044675763195794915
55,0.043673548358056945
56,0.04105701987263164
57,0.039429450236963995
58,0.05554530050186629
59,0.04411380183040876
60,0.042556773845880316
61,0.03777560548403838
62,0.04600822481011922
63,0.05265242880938598
64,0.05299717231299319
65,0.0549327766963481
66,0.05075340614228562
67,0.05455436962521432
68,0.061026553536987514
69,0.06444303903848356
70,0.06282538508329542
71,0.06405307582058048
72,0.055313076001998994
73,0.05512695766685761
74,0.052916247940096375
75,0.050540023335335846
76,0.05053681555003617
77,0.050982806399300445
78,0.04942787267717176
79,0.03653330987414494
80,0.03829977605896743
81,0.03969472487996351
82,0.0401123620077614
83,0.037486166989879464
84,0.036485216369587174
85,0.03447584811005535
86,0.036291826231788386
87,0.03529253447978567
88,0.03158289536267989
89,0.030349724804005208
90,0.03111163662766699
91,0.03168054082162785
92,0.03162478528825829
93,0.03164508059733733
94,0.022477334340748462
95,0.024938882181162463
96,0.02209711112674635
97,0.022448159616988476
98,0.022596232599414734
99,0.022821318638788453
100,0.02212852290975843
101,0.021238064693059153
102,0.020768403431605686
103,0.020924221356719428
104,0.02076351956605063
105,0.02121696154116872
106,0.020417238453289736
107,0.018995510973965683
108,0.018583448121726357
109,0.016958471339830007
110,0.03429495902568318
111,0.022777244524517997
112,0.022722453829380804
113,0.022026644141270712
114,0.016159308837246318
115,0.014359635831382772
116,0.012192958850410418
117,0.011117062119106517
118,0.009788923960155087
119,0.009583598960284606
120,0.009274475935448613
121,0.008956381058849093
122,0.008742122403789975
123,0.008974447335957482
124,0.008734469886068038
125,0.008489015154326627
126,0.014196484443917823
127,0.015307947858249737
128,0.014046190740363106
129,0.014284406844914834
130,0.012641503143110041
131,0.011742124399145668
132,0.013270857052927451
133,0.01236879940369597
134,0.012201558917746606
135,0.012741876750269275
136,0.012865593526661312
137,0.0114974676616583
138,0.010207318089543439
139,0.009781721843426088
140,0.008968332731327553
141,0.00898743524226075
142,0.009185562366581376
143,0.008627738193855422
144,0.005486304188188877
145,0.005726640141541419
146,0.005679805879404067
147,0.0059563187712415745
148,0.005052294842163778
149,0.005154639131881616
150,0.004971127844952685
151,0.004375577117136869
152,0.005200840992773255
153,0.0050802791116642725
154,0.004962715757345923
155,0.005320498009492843
156,0.004443064460920591
157,0.004253064142191132
158,0.0029090618805515532
159,0.002478449685688629
160,0.0023862009779088006
161,0.0029476193374756445
162,0.0029405116859961542
163,0.0029409174846060783
164,0.002986077208741067
165,0.003060282766439888
166,0.002718210946215411
167,0.00253103725395276
168,0.0026612048123026387
169,0.0027294802017949365
170,0.002306674293077365
171,0.00216152356414213
172,0.0025251676640627553
173,0.0023593712088607714
174,0.002011598089581504
175,0.0020861979390480343
176,0.0023621794454976503
177,0.002615578612460405
178,0.002687102515793501
179,0.0026801035980775737
180,0.0025496826137213304
181,0.002780734073730363
182,0.0030879883361356474
183,0.00353821094834299
184,0.003018864178106196
185,0.0027155645458526766
186,0.002497827575577955
187,0.0023942407406030122
188,0.002249967375539675
189,0.0022362724385847307
190,0.002149486523240511
191,0.0025875271940459027
192,0.002573851248064112
193,0.002390047619368104
194,0.0026445045849755704
195,0.0026890385703742734
196,0.0026430514070555178
197,0.0028684075026226235
198,0.0032757819714354396
199,0.002531261239584635
200,0.0023102087502950256
201,0.002918428548149543
202,0.0033431864159801017
203,0.003171026696341419
204,0.0034124283398974547
205,0.003202873521203663
206,0.002623172328641425
207,0.0022596138560934706
208,0.002222060299169278
209,0.0023837755470560735
210,0.0020058152622365903
211,0.0022189343699368386
212,0.002009392265233721
213,0.0023008016483749474
214,0.002171306269376667
215,0.0026181710011990685
216,0.0018697619343846226
217,0.0019512499139681277
218,0.001915758168857849
219,0.0018838083836563717
220,0.0016980295609553794
221,0.0014057084499756792
222,0.001441729765961568
223,0.0018161776759401515
224,0.001878743462263949
225,0.001955215567231735
226,0.001745381113914195
227,0.002998686382172025
228,0.0027441813175550296
229,0.0024376465410566065
230,0.0022454483620354343
231,0.0013967517911547473
232,0.0015039838181017165
233,0.0018251357970280513
234,0.0018284243193236666
235,0.001279970627563746
236,0.0013480299332006723
237,0.0013312152541554983
238,0.0014477441515956524
239,0.0016470722060549943
240,0.0017145806894051823
241,0.00202945317735687
242,0.0011183201301964653
243,0.0010381249010312297
244,0.0008753728836008717
245,0.0009224153663577571
246,0.001062232896879632
247,0.0006786168390812916
248,0.0006268830827993843
249,0.0008219021292890861
250,0.0008486187561613909
251,0.0008862155949172975
252,0.0009003089050025687
253,0.0010818666207625977
254,0.0011222180940606958
255,0.0012703362308644098
256,0.0012042443046974478
257,0.0012808564191875732
258,0.000992531232756075
259,0.0010249079533939474
260,0.0017787748356697286
261,0.0017186953435370728
262,0.0020807363495482815
263,0.0017199663613887996
264,0.0016093064253308675
265,0.0017281224850224965
266,0.0015212568168693373
267,0.0016344592322408034
268,0.0022639499989095687
269,0.0018367793784422293
270,0.0018625586360164598
271,0.0023949486476412783
272,0.0020363628909620232
273,0.0012639274398297418
274,0.0019402576339362886
275,0.002060835963144795
276,0.0014257550505061525
277,0.0016750908559725467
278,0.0015256551078990667
279,0.0012110523426746142
280,0.0005146432669939261
281,0.0005041664501814774
282,0.0004979648558647206
283,0.0006269603623823884
284,0.000661477908643328
285,0.0006182308274519433
286,0.0006473939466936258
287,0.0008712707094530123
288,0.0007919135674551301
289,0.0008897295643173077
290,0.0007601872830928214
291,0.0015890342633992824
292,0.0020779408827602797
293,0.0032399865916352285
294,0.0021402827079092224
295,0.002364912363810467
296,0.002129380618079239
297,0.003209957299945472
298,0.0034172852173654047
299,0.003326688330515312
300,0.00190978755913488
301,0.0020199391180309822
302,0.0023278321403449095
303,0.0017072819156615812
304,0.003324036869146819
305,0.002185532217502359
306,0.0018079792610403015
307,0.0017528313242018898
308,0.0015299092143411645
309,0.0019877044301647656
310,0.0019512264430754322
311,0.002039551825455525
312,0.0012070673900254308
313,0.0013799953064290039
314,0.0019204321533215774
315,0.0018449186493827581
316,0.0026229347285845386
317,0.0017087194742517841
318,0.002272082270469624
319,0.0018584766998013824
320,0.0013528893194625776
321,0.002101268609083424
322,0.0023208840890185903
323,0.0024651323327752276
324,0.0019029262792616057
325,0.0019244900880662067
326,0.0009468189844640008
327,0.000991375660869278
328,0.0008134397588258264
329,0.0008444497254886601
330,0.0010001894619994995
331,0.0007314767336347997
332,0.0008007320149903027
333,0.0007420817461623591
334,0.0009768486952809127
335,0.0008691813333816081
336,0.0009606822617728202
337,0.000797215110246783
338,0.0008760924623002513
339,0.000746283500941971
340,0.0007485803360131978
341,0.0036061519633834448
342,0.003732134756818463
343,0.0034601289194396033
344,0.0032645913582849792
345,0.0020799795736309813
346,0.0015522092141531973
347,0.004351910211265544
348,0.003520620845654745
349,0.004228104263878715
350,0.003394433124367257
351,0.0037945026506388236
352,0.003567765187866744
353,0.003649735563569074
354,0.002873397962592108
355,0.002163614437592143
356,0.0014202702035012785
357,0.00141748423194714
358,0.0017434776267785596
359,0.001559041176969652
360,0.002162064236490264
361,0.0032569243329143775
362,0.0033524336353146535
363,0.0027985491123704936
364,0.00287197093117573
365,0.0029659556627006185
366,0.002498451714903309
367,0.003098694082207701
368,0.003114520114652031
369,0.0021691856157551076
370,0.0026097677218383498
371,0.0028022027376455798
372,0.0032001561044821755
373,0.0026676610389417543
374,0.002908393411281174
375,0.0028313033064547737
376,0.002864418250434503
377,0.0034768579006086062
378,0.0030922299099527158
379,0.0023039818448698443
380,0.0021855361988425497
381,0.001573740095827247
382,0.002180395619084999
383,0.0018193277264036602
384,0.002213179891912944
385,0.0022319700040836013
