"عن"
"حدث"
"قال"
"أخبر"
"أنبأ"
"سمع"
"ان"
"راى"
"سأل"
"ذكر"
"قرأ"
"كتب"
"ل"
"شهد"
"من"
"روى"
"رفع"
"رسل"
"لقى"
"اذن"
"يرد"
"زعم"
"على"
"إلى"
"بلغ"
"عطى"
