year,ratio
-11,0.008422235704328668
-10,0.008197772788744272
-9,0.00801999969727975
-8,0.007936075084416207
-7,0.006495840564468929
-6,0.005986020449618832
-5,0.0060692430908166105
-4,0.006059812551170142
-3,0.00425443075100988
-2,0.004588656507801711
-1,0.004563149088590065
0,0.004700683504847117
1,0.00467230801494958
2,0.0047161192487813796
3,0.004727075291126345
4,0.004710739559550711
5,0.004641672572401309
6,0.00473990270664956
7,0.00516842050698674
8,0.006350721365527835
9,0.006324277286916876
10,0.00654423215135407
11,0.00653413635435315
12,0.002631746932591208
13,0.0017493946557513049
14,0.0016121930889543697
15,0.004949491982788937
16,0.004816122929882972
17,0.004374903131094161
18,0.004554857735404315
19,0.004449444248907011
20,0.006743875329010051
21,0.005304375781942899
22,0.004906799186118196
23,0.004776855066119361
24,0.0007032749184262797
25,0.0006768461430953497
26,0.0006567959395510591
27,0.0006546530640832503
28,0.0006042171021339929
29,0.0005944684095930347
30,0.00048625778344555694
31,0.0004785732402001447
32,0.0005385578355141251
33,0.0013426016798326855
34,0.0018440597871157995
35,0.0016288109436344068
36,0.001132471144542795
37,0.0010616284969269954
38,0.0009848645271918158
39,0.0008001545754755869
40,0.001009075142587693
41,0.0010579434973233839
42,0.0008268634853316212
43,0.0007999466471110964
44,0.0008033097701262547
45,0.0008226713183188429
46,0.0007755947164207215
47,0.000774445301677454
48,0.0007543563890516683
49,0.0007545575208102571
50,0.0006912476529649858
51,0.0007171378847736621
52,0.0005569569797909033
53,0.0005022153510316948
54,0.0004827215484602577
55,0.0004725815898259519
56,0.000528802594395726
57,0.0005198869764581262
58,0.0014415091766074393
59,0.001595571627286456
60,0.0015596778508192954
61,0.001119427963537571
62,0.001089089906690379
63,0.001039002641811284
64,0.0010628200348505037
65,0.0010307959525604413
66,0.0008448938600581785
67,0.0008784990693726175
68,0.0010470650008457718
69,0.0009836407451308323
70,0.0008994337723492898
71,0.0008346072975059972
72,0.0008271076542651269
73,0.0008208215632788605
74,0.0004736971224836512
75,0.00046631381692869005
76,0.0004668892562036128
77,0.0004692625407153281
78,0.0004735807168681386
79,0.0005707920804390613
80,0.0005489452148768737
81,0.0004483327887995354
82,0.0004556829574661824
83,0.0005786788221468394
84,0.000592723079879375
85,0.0005645564752602568
86,0.0005803047764070205
